Id,Char Id,Name,Cmd M,Cmd C,Move,Guard,Damage,Hits,Cancel,Startup,Active,Recovery,Total,Hit Adv,Block Adv,Body
1722,1,立ち弱P,,5LP,no,上,300,,C,4,3,7,13,4,-1,・連打キャンセル対応
1723,1,立ち弱K,,5LK,no,上,300,,C,5,3,11,18,2,-4,
1724,1,立ち中P,,5MP,no,上,600,,C,6,4,11,20,7,-1,
1725,1,立ち中K,,5MK,no,上,700,,,9,3,18,29,4,-4,
1726,1,立ち強P,,5HP,no,上,800,,C,10,5,18,32,4,-2,・強制立ち効果
1727,1,立ち強K,,5HK,no,上,900,,,12,4,20,35,9,1,"・空中ヒット時吹き飛びダウン
・パニッシュカウンター時に膝崩れダウンに＋36
・空中ヒットでパニッシュカウンター時吹き飛び時間延長"
1728,1,しゃがみ弱P,,2LP,no,上,300,,C,4,2,9,14,4,-1,・連打キャンセル対応
1729,1,しゃがみ弱K,,2LK,no,下,200,,,5,2,10,16,3,-3,・連打キャンセル対応
1730,1,しゃがみ中P,,2MP,no,上,600,,C,6,4,13,22,5,0,
1731,1,しゃがみ中K,,2MK,no,下,500,,C,8,3,19,29,1,-6,
1732,1,しゃがみ強P,,2HP,no,上,800,,C,9,6,22,36,1,-7,"・キャンセルは持続の1F目がヒットした時のみ
・強制立ち効果"
1733,1,しゃがみ強K,,2HK,no,下,900,,,9,3,23,34,D,-12,・カウンター/パニッシュカウンター時ダウン時間増加
1734,1,ジャンプ弱P,,（ジャンプ中に）LP,ju,中,300,,,4,10,着地後3,16,,,
1735,1,ジャンプ弱K,,（ジャンプ中に）LK,ju,中,300,,,6,10,着地後3,18,,,・めくり性能
1736,1,ジャンプ中P,,（ジャンプ中に）MP,ju,中上,700,,C,8,5,着地後3,15,,,・空中ヒット時吹き飛びダウン
1737,1,ジャンプ中K,,（ジャンプ中に）MK,ju,中,500,,,7,6,着地後3,15,,,・めくり性能
1738,1,ジャンプ強P,,（ジャンプ中に）HP,ju,中,800,,,9,6,着地後3,17,,,・空中カウンター/パニッシュカウンター時叩きつけダウン
1739,1,ジャンプ強K,,（ジャンプ中に）HK,ju,中,800,,,12,8,着地後3,22,,,
1740,1,鎖骨割り,,6MP,un,※中上,600,,,20,4,19,42,3,-1,・※初段が空振り時のみ2段目が中段判定
1741,1,鳩尾砕き,,6HP,un,上,800,,,20,5,16,40,6,3,
1742,1,上げ突き,,4HP,un,上,800,,C,7,4,26,36,1,-13,"・キャンセルは持続の1F目がヒットした時のみ
・強制立ち効果"
1743,1,かかと落とし,,4HK,un,上,800,2,C,10,14,21,44,0,-4,"・1段目強制立ち効果
・2段目空中ヒット時床バウンド"
1744,1,旋風脚,,6HK,un,上,800,,※,16,4,20,39,2,-4,・※OD空中竜巻旋風脚でのみキャンセル可能
1745,1,上段二連撃,,HP > HK,un,上,1000,,※,9,4,20,32,D,-8,"・※ヒット時、電刃錬気でのみキャンセル可能
・クラシック操作:↓+P、モダン操作:↓＋攻撃"
1746,1,不破三連撃(2段目),,MP > LK,un,上,300,,,5,3,16,23,1,-4,
